text,neutral,positive,negative,compound,Sentiment
proud moment alumni indian institute information technology dharwad across globe ,0.0,0.744,0.256,0.4767,Positive
get ready become ultimate knight take board opportunity showcase set chess tact ,0.0,0.654,0.346,0.6486,Positive
rt tf2k22 get ready become ultimate knight take board opportunity showcase set chess tactics conqu ,0.0,0.71,0.29,0.6486,Positive
rt ujjainsmartcity another visits community outreach program indian institute technology indore iitindore amp national ,0.0,0.861,0.139,0.2732,Positive
govt job for m pharm msc join indian institute technology govtjob jobalert jobopenings jobopportunity ,0.0,0.855,0.145,0.296,Positive
rt dhealthmaster govt job for m pharm msc join indian institute technology govtjob jobalert jobopenings jobopportunity mpha ,0.0,0.879,0.121,0.296,Positive
rt chintala_pravs proud moment alumni indian institute information technology dharwad across globe inauguration ,0.0,0.795,0.205,0.4767,Positive
rt tf2k22 dimensions g iiit nagpur excited present game jam a game development challenge part annual techfest tantraf ,0.0,0.812,0.188,0.4019,Positive
aryakavi folks transforming nation powerhouse sustainable advanced technologies creat ,0.0,0.8,0.2,0.25,Positive
rt tf2k22 dimensions g iiit nagpur excited present game jam a game development challenge part annual techfest tantraf ,0.0,0.812,0.188,0.4019,Positive
rt tf2k22 dimensions g iiit nagpur excited present game jam a game development challenge part annual techfest tantraf ,0.0,0.812,0.188,0.4019,Positive
proposed nalli from indian institute space science technology thiruvananthapuram my solution soon ,0.0,0.827,0.173,0.3182,Positive
rt ram_bhaktha central public works dept issued tenders construction permanent campus indian institute information techn ,0.0,0.897,0.103,0.1531,Positive
rt kamall282 proposed nalli from indian institute space science technology thiruvananthapuram my solution soon ,0.0,0.85,0.15,0.3182,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
5g launch live streaming front beautiful new acdemic complex indian institute technology chennai ,0.0,0.755,0.245,0.5994,Positive
rt tf2k22 get ready become ultimate knight take board opportunity showcase set chess tactics conqu ,0.0,0.71,0.29,0.6486,Positive
rt tf2k22 dimensions g iiit nagpur excited present game jam a game development challenge part annual techfest tantraf ,0.0,0.812,0.188,0.4019,Positive
researchers himachal indian institute technology mandi succeeded creating simple portable ,0.0,0.615,0.385,0.6124,Positive
acharya institute technology organised career guidance program various career opportunities indian air ,0.0,0.809,0.191,0.3818,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
govt job for m pharm msc join indian institute technology govtjob jobalert jobopenings jobopportunity ,0.0,0.855,0.145,0.296,Positive
rt dhealthmaster govt job for m pharm msc join indian institute technology govtjob jobalert jobopenings jobopportunity mpha ,0.0,0.879,0.121,0.296,Positive
rt dhealthmaster govt job for m pharm msc join indian institute technology govtjob jobalert jobopenings jobopportunity mpha ,0.0,0.879,0.121,0.296,Positive
govt job for m pharm msc join indian institute technology govtjob jobalert jobopenings jobopportunity ,0.0,0.855,0.145,0.296,Positive
rt dhealthmaster govt job for m pharm msc join indian institute technology govtjob jobalert jobopenings jobopportunity mpha ,0.0,0.879,0.121,0.296,Positive
rt barbbenjamin congratulations dvcon india 2022 hackathon winners nikhitha avula vinay ratnala tarun gupta indian institute ,0.0,0.667,0.333,0.7906,Positive
srinagar sep 29 two faculty members indian institute technology iit ropar delivered special lecture ,0.0,0.828,0.172,0.4019,Positive
two faculty members indian institute technology iit ropar delivered special lectures national inst ,0.0,0.816,0.184,0.4019,Positive
the indian institute information technology iiit go making special contributions future ,0.0,0.787,0.213,0.4019,Positive
two faculty members indian institute technology iit ropar delivered special lectures national inst ,0.0,0.816,0.184,0.4019,Positive
we excited announce dsc iit patna organizing android compose camp 1st 2nd october 2022 f ,0.0,0.854,0.146,0.34,Positive
rt dsciitpatna we excited announce dsc iit patna organizing android compose camp 1st 2nd october 2022 5 p ,0.0,0.876,0.124,0.34,Positive
opportunity m pharm msc join indian institute technology ,0.0,0.545,0.455,0.6124,Positive
rt priya01101988 i happy share i starting new position assistant professor grade 1 department chemistry indian in ,0.0,0.718,0.282,0.7096,Positive
opportunity m pharm msc join indian institute technology ,0.0,0.545,0.455,0.6124,Positive
govt job for m pharm msc join indian institute technology ,0.0,0.804,0.196,0.296,Positive
indiapostoffice receiver address b2 hostel indian institute technology jodhpur nh 62 surpura bypass rd ,0.0,0.802,0.198,0.4939,Positive
researchers indian institute technology madras shown spike protein vaccines may effective ag ,0.0,0.78,0.22,0.4767,Positive
rt edvizo nlceetopper really great experience embracing art photography iit indian institute technology guw ,0.0,0.747,0.253,0.659,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
the presofpakistan the pakpmo officialdgispr we given chance compete indian institute te ,0.0,0.846,0.154,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
the indian institute information technology iiit go making special contributions future ,0.0,0.787,0.213,0.4019,Positive
rt priya01101988 i happy share i starting new position assistant professor grade 1 department chemistry indian in ,0.0,0.718,0.282,0.7096,Positive
it honour get amazing invitation connect learn understand growth new startups amp thei ,0.0,0.498,0.502,0.8779,Positive
rt priya01101988 i happy share i starting new position assistant professor grade 1 department chemistry indian in ,0.0,0.718,0.282,0.7096,Positive
tata medical centre kolkata indian institute technology iit kharagpur launched india first f ,0.0,0.889,0.111,0.128,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
pavansaigosala beingmcking_ fulfilling assurances ap reorganisation act central government se ,0.0,0.789,0.211,0.34,Positive
rt priya01101988 i happy share i starting new position assistant professor grade 1 department chemistry indian in ,0.0,0.718,0.282,0.7096,Positive
opcw amp csiriict deliver training analyticalchemists developing countries strengthen national implemen ,0.0,0.813,0.187,0.3182,Positive
rt ians_india the indian institute information technology iiit go making special contributions future country ,0.0,0.828,0.172,0.4019,Positive
rt opcw opcw amp csiriict deliver training analyticalchemists developing countries strengthen national implementation ,0.0,0.839,0.161,0.3182,Positive
president droupadimurmu received unique gift inauguration new campus indian institute in ,0.0,0.775,0.225,0.4404,Positive
rt bsindia sixty nine top 100 jee advanced rank holders secured seat indian institute technology iit bombay c ,0.0,0.698,0.302,0.6705,Positive
rt bsindia sixty nine top 100 jee advanced rank holders secured seat indian institute technology iit bombay c ,0.0,0.698,0.302,0.6705,Positive
sixty nine top 100 jee advanced rank holders secured seat indian institute technology iit ,0.0,0.629,0.371,0.6705,Positive
nlceetopper really great experience embracing art photography iit indian institute tec ,0.0,0.695,0.305,0.659,Positive
i happy share i starting new position assistant professor grade 1 department chemistry indi ,0.0,0.67,0.33,0.7096,Positive
nlceetopper really great experience embracing art photography iit indian institute tec ,0.0,0.695,0.305,0.659,Positive
rt edvizo nlceetopper really great experience embracing art photography iit indian institute technology guw ,0.0,0.747,0.253,0.659,Positive
rt nlcee_in nlceetopper really great experience embracing art photography iit indian institute technology g ,0.0,0.747,0.253,0.659,Positive
rt alamdar1917 skill development chuntiwari machhal a first kind resource mapping skil ,0.0,0.764,0.236,0.5267,Positive
rt tf2k22 re ignite passion design year design thon organized strokes the design club hood tantra ,0.0,0.833,0.167,0.4588,Positive
rt tf2k22 in accordance the skills night club presents hackme this opportunity showcase talent innovation ,0.0,0.581,0.419,0.8248,Positive
for first time 23 iits come together mega research amp development fair held ,0.0,0.839,0.161,0.3182,Positive
rt priya01101988 i happy share i starting new position assistant professor grade 1 department chemistry indian in ,0.0,0.718,0.282,0.7096,Positive
rt namma_hd karnataka 1st premier information technology institute dedicated nation indian institute information technolo ,0.0,0.812,0.188,0.4588,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
karnataka 1st premier information technology institute dedicated nation indian institute informatio ,0.0,0.769,0.231,0.4588,Positive
live coverage inauguration indian institute information technology iiit dharwad campus honourable pres ,0.0,0.78,0.22,0.4767,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
rt tf2k22 re ignite passion design year design thon organized strokes the design club hood tantra ,0.0,0.833,0.167,0.4588,Positive
rt alamdar1917 skill development chuntiwari machhal a first kind resource mapping skil ,0.0,0.764,0.236,0.5267,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
re ignite passion design year design thon organized strokes the design club ho ,0.0,0.8,0.2,0.4588,Positive
rt priya01101988 i happy share i starting new position assistant professor grade 1 department chemistry indian in ,0.0,0.718,0.282,0.7096,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
rt priya01101988 i happy share i starting new position assistant professor grade 1 department chemistry indian in ,0.0,0.718,0.282,0.7096,Positive
davidhundeyin indian institute technology delhi great idea watch presidential aspirants curren ,0.0,0.709,0.291,0.6249,Positive
nit goa celebrate 8th convocation friday 30 sept 2022 raj bhavan dona paula goa goa governor ,0.0,0.802,0.198,0.5719,Positive
rt the_hindu president droupadimurmu received unique gift inauguration new campus indian institute information ,0.0,0.805,0.195,0.4404,Positive
the presofpakistan the pakpmo officialdgispr we given chance compete indian institute te ,0.0,0.846,0.154,0.25,Positive
rt knimbusindia iitroorkee we truly honored partner indian institute technology roorkee national seminar i ,0.0,0.642,0.358,0.7717,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
the presofpakistan the pakpmo officialdgispr we given chance compete indian institute te ,0.0,0.846,0.154,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
naval group indian institute technology goa iit goa signed collaboration agreement the joint r ,0.0,0.802,0.198,0.4939,Positive
the presofpakistan the pakpmo officialdgispr we given chance compete indian institute te ,0.0,0.846,0.154,0.25,Positive
iitroorkee we truly honored partner indian institute technology roorkee national semina ,0.0,0.573,0.427,0.7717,Positive
rt reviewvayu naval group indian institute technology goa iit goa signed collaboration agreement the joint research ,0.0,0.824,0.176,0.4939,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
among congress leaders jairam ramesh pleases people he seems first alumni indian institu ,0.0,0.816,0.184,0.4019,Positive
rt neeksww i happy share i joined indian institute technology iit guwahati iitguwahati assistant profes ,0.0,0.688,0.312,0.7096,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october ,0.0,0.764,0.236,0.5719,Positive
rt pib_india office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october 2022 ,0.0,0.802,0.198,0.5719,Positive
office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october ,0.0,0.764,0.236,0.5719,Positive
rt pibchennai office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october 2022 ,0.0,0.802,0.198,0.5719,Positive
rt pibchennai office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october 2022 ,0.0,0.802,0.198,0.5719,Positive
rt pib_india office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october 2022 ,0.0,0.802,0.198,0.5719,Positive
another visits community outreach program indian institute technology indore iitindore amp nation ,0.0,0.84,0.16,0.2732,Positive
rt pib_india office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october 2022 ,0.0,0.802,0.198,0.5719,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt the_hindu president droupadimurmu received unique gift inauguration new campus indian institute information ,0.0,0.805,0.195,0.4404,Positive
feel proud announce presence indian institute technology bombay today e cell iit mumbai build e ,0.0,0.819,0.181,0.4767,Positive
acharya institute technology organised career guidance program various career opportunities indian air ,0.0,0.809,0.191,0.3818,Positive
fsn e commerce ventures the indian institute management ahmedabad iima signed agreement nykaa ,0.0,0.789,0.211,0.4939,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
fsn e commerce ventures the indian institute management ahmedabad iima signed agreement nykaa ,0.0,0.789,0.211,0.4939,Positive
two faculty members indian institute technology iit ropar delivered special lectures national inst ,0.0,0.816,0.184,0.4019,Positive
rt vinodktiwari6 we invite attend association carbohydrate chemists technologists india accti conference ,0.0,0.873,0.127,0.1531,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
the indian institute management ahmedabad iima signed agreement nykaa set nykaa chai ,0.0,0.775,0.225,0.4939,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
a national colloquium women science technology fostering innovation organised scienc ,0.0,0.776,0.224,0.3818,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt tf2k22 dimensions g iiit nagpur excited present game jam a game development challenge part annual techfest tantraf ,0.0,0.812,0.188,0.4019,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt priya01101988 i happy share i starting new position assistant professor grade 1 department chemistry indian in ,0.0,0.718,0.282,0.7096,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
rt nlcee_in nlceetopper really great experience embracing art photography iit indian institute technology g ,0.0,0.747,0.253,0.659,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt ie_mumbai campustalk in recent past spate instances like one iit bombay chandigarh university brought ,0.0,0.848,0.152,0.3612,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt priya01101988 i happy share i starting new position assistant professor grade 1 department chemistry indian in ,0.0,0.718,0.282,0.7096,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
two girls like turn lights room happyjenlisaday jenlisa jennie lisa ,0.0,0.783,0.217,0.3612,Positive
happy 5th anniversary two beautiful girls may last forever always happy ,0.0,0.415,0.585,0.9062,Positive
going take small step community development in talk local community members provide free qua ,0.0,0.798,0.202,0.5106,Positive
rt ie_mumbai campustalk in recent past spate instances like one iit bombay chandigarh university brought ,0.0,0.848,0.152,0.3612,Positive
admissions 2022 2023 open nri_junior_colleges_tirupati provides best programes iit jee jeemains neet ,0.0,0.724,0.276,0.6369,Positive
rt ie_mumbai campustalk in recent past spate instances like one iit bombay chandigarh university brought ,0.0,0.848,0.152,0.3612,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
campustalk in recent past spate instances like one iit bombay chandigarh university bro ,0.0,0.828,0.172,0.3612,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
